OG,category
COG5593,Translation
COG1615,Function unknown
COG5591,Function unknown
COG1617,Function unknown
COG5351,Function unknown
COG5350,General functional prediction only
COG5353,Function unknown
COG5352,Function unknown
COG5354,General functional prediction only
COG4189,Transcription
COG3525,Carbohydrate metabolism and transport
COG4929,Function unknown
COG4186,General functional prediction only
COG4185,Function unknown
COG5110,"Post-translational modification, protein turnover, chaperone functions"
COG3526,"Post-translational modification, protein turnover, chaperone functions"
COG4181,Secondary structure
COG4341,General functional prediction only
COG2812,Replication and repair
COG2811,Energy production and conversion
COG2810,Defense mechanisms
COG4345,Function unknown
COG2816,Replication and repair
COG4347,Function unknown
COG4346,"Post-translational modification, protein turnover, chaperone functions"
COG3520,Function unknown
COG2819,General functional prediction only
COG2818,Replication and repair
COG1413,Energy production and conversion
COG3522,Function unknown
COG4735,Function unknown
COG4006,Function unknown
COG5117,Translation
COG3523,Function unknown
COG1104,Amino acid metabolism and transport
COG3443,General functional prediction only
COG1106,General functional prediction only
COG1107,Replication and repair
COG1100,General functional prediction only
COG1101,General functional prediction only
COG1102,Nucleotide metabolism and transport
COG3442,General functional prediction only
COG4065,Function unknown
COG4849,Function unknown
COG4962,Intracellular trafficing and secretion
COG1108,Inorganic ion transport and metabolism
COG1109,Carbohydrate metabolism and transport
COG1294,Energy production and conversion
COG1295,Function unknown
COG1296,Amino acid metabolism and transport
COG1796,Replication and repair
COG1290,Energy production and conversion
COG1291,Cell motility
COG1292,Cell wall/membrane/envelope biogenesis
COG1293,Transcription
COG3447,Signal transduction
COG1298,Cell motility
COG1968,Defense mechanisms
COG4974,Replication and repair
COG3177,Function unknown
COG3862,Function unknown
COG1930,Inorganic ion transport and metabolism
COG3445,General functional prediction only
COG4066,Function unknown
COG3444,Carbohydrate metabolism and transport
COG1026,General functional prediction only
COG2610,Carbohydrate metabolism and transport
COG1175,Carbohydrate metabolism and transport
COG3174,Function unknown
COG2035,Function unknown
COG2034,Function unknown
COG2037,Energy production and conversion
COG2036,Chromatin structure and dynamics
COG2031,Lipid metabolism
COG2030,Lipid metabolism
